sws_id,precipitation,rainfall,snowfall,snowmelt,air_pressure,air_temperature,relative_humidity,wind_speed,potential_evaporation
5223045,964.7034,514.6056,450.09784,450.677,97.29344,5.7965007,0.7616879,1.9986736,940.51196
5338360,963.3805,515.14496,448.2355,448.36145,96.93746,5.6861215,0.7555806,1.6634824,931.3388
5388947,927.7773,524.68933,403.08795,404.0632,97.46753,5.726398,0.75528425,1.5599855,918.3637
5137483,972.2468,545.6753,426.57153,429.59073,97.60895,6.0306053,0.77737945,2.843235,925.4388
5382845,961.3375,525.89856,435.43896,435.96005,97.488754,5.8995943,0.7684709,2.341938,937.8168
5289451,911.2047,561.7452,349.45953,349.79562,97.86285,5.909122,0.7581532,1.8746706,974.2029
5503593,952.81726,529.99915,422.8181,424.93893,96.930084,5.686213,0.7524677,1.5153979,924.9458
5457184,1005.6809,510.69342,494.9875,496.55066,97.945404,6.128602,0.7791945,3.1224027,926.58124
5473623,947.9474,521.2217,426.72574,427.9263,97.024506,5.6922708,0.7521612,1.5032212,924.4938
5469595,905.36426,538.40857,366.9557,367.3822,97.7594,6.067154,0.7562569,2.0059485,1019.76245
5432069,1005.95374,509.04947,496.9043,497.41357,97.93722,6.145404,0.77846974,3.1548035,930.0708
5592710,960.07764,523.2621,436.81558,437.37448,97.67825,6.003007,0.7724338,2.5851963,936.1269
5434501,909.938,558.25775,351.6802,352.80728,97.910904,6.0072145,0.7569459,1.9557557,1002.35535
5472029,1006.4181,510.0637,496.35443,498.49277,97.98285,6.1410685,0.77757704,3.1439455,932.8295
5633663,947.95825,524.7881,423.17017,423.76385,97.205536,5.7151847,0.75137717,1.4870975,925.96484
5578209,963.3331,522.7847,440.54837,441.313,97.16991,5.7936063,0.7572247,1.8346009,945.0362
5533898,929.1068,524.2307,404.8761,402.96475,97.456345,5.7422647,0.75365436,1.5278491,921.2047
5466884,1027.734,533.1135,494.62048,494.99072,98.05442,6.1316304,0.7758177,3.1024787,937.11584
5713405,958.1494,520.2596,437.88983,437.49646,97.20261,5.7766194,0.75135684,1.5951356,943.67523
5738825,931.969,526.94867,405.02032,406.46536,97.51479,5.7460823,0.7524715,1.5020651,922.8187
5737167,1003.2689,509.5677,493.70123,494.07965,98.024605,6.2095437,0.7801897,3.2421498,926.96265
5547402,982.0105,549.99884,432.01166,433.08328,97.77684,6.1458316,0.7796726,3.058873,924.9195
5648320,963.72266,521.7436,441.97903,443.4576,97.15772,5.765851,0.7542631,1.697183,942.92175
5298746,946.56274,527.4227,419.13998,421.48013,97.34259,5.7190948,0.7515761,1.4801009,923.533
5607473,964.0248,541.43115,422.59363,424.1576,97.67677,6.1246467,0.7786233,2.971341,926.8162
5523847,932.82306,525.33093,407.49213,409.91812,97.44839,5.7209334,0.75294715,1.4990654,919.3881
5907591,963.8485,539.02795,424.82053,425.5859,97.67454,6.1467476,0.77690303,2.8900337,932.8322
5572825,959.28204,530.1912,429.09082,432.19446,97.570015,6.016827,0.7699663,2.4969344,942.9044
5559487,910.6553,564.05707,346.5982,348.1066,97.948555,5.997642,0.7559709,1.8944178,992.77423
5828029,963.07153,523.77893,439.29257,440.40662,97.36219,5.909056,0.7617932,2.1028664,950.87335
5818237,963.60077,527.3335,436.26727,437.84482,97.21144,5.8157244,0.7550721,1.7776083,949.2457
5847050,1001.2116,501.65164,499.55997,501.46036,98.06866,6.244058,0.7794479,3.29965,930.9067
5594221,917.3605,565.55707,351.80338,351.8476,97.71356,5.8630733,0.7559329,1.7162608,950.1197
5912204,980.1452,477.10117,503.04404,502.06827,97.97007,6.236031,0.7810874,3.2608907,924.8674
5696859,1028.5303,530.2818,498.2485,497.90106,98.15644,6.1911545,0.77584416,3.1791315,938.92676
5872544,964.77795,543.946,420.832,421.62982,97.62478,6.1417,0.77783823,2.9345088,929.90216
5652905,958.0071,529.77045,428.23666,430.0361,97.520065,5.968555,0.76577467,2.2983966,948.5043
5728362,958.3624,519.6346,438.7278,439.4069,97.20428,5.782586,0.7523575,1.6421021,945.26697
5657684,960.922,529.49243,431.42953,433.44897,97.78499,6.1012793,0.7751984,2.7787936,935.0289
5813532,956.4845,535.9825,420.50204,420.90732,97.16362,5.7710824,0.75007194,1.5290864,940.2908
5607254,983.61676,549.9235,433.69324,434.23553,97.9021,6.2124624,0.7808835,3.201813,924.37024
5688094,963.2959,521.8988,441.39706,442.10873,97.31875,5.871622,0.7592267,1.978133,951.16797
5762693,958.9143,525.58997,433.32437,434.7777,97.70797,6.08386,0.7728301,2.6645973,940.27466
5766966,1017.05023,521.8528,495.19745,495.68475,98.11073,6.217379,0.7776387,3.2481194,935.57117
5814269,918.99585,567.5556,351.44022,353.59555,97.74485,5.952896,0.75398564,1.7465124,969.2218
6034333,915.45514,565.3767,350.07843,351.86615,97.76796,5.9996147,0.75370085,1.7942122,982.2207
6042153,997.09503,498.51703,498.578,501.22467,98.11309,6.302877,0.7815797,3.377288,925.74164
5777951,958.994,524.20654,434.78745,437.7618,97.44714,5.9673896,0.76349026,2.214154,952.9152
5539545,911.0676,560.77747,350.2902,351.64185,97.96169,6.1146493,0.75411046,1.9709831,1023.23944
5704117,923.1679,564.0935,359.0744,358.134,97.556076,5.843526,0.75302243,1.5916198,939.16266
5849179,921.98987,573.84863,348.14124,348.77893,97.6971,5.9232225,0.7524465,1.6530907,956.76434
6059120,923.06836,581.7387,341.32962,342.41406,97.723236,5.9310884,0.7506056,1.5980892,955.18933
5734202,920.0155,573.7908,346.22476,348.2803,97.75581,5.9345565,0.75307137,1.6886066,961.2306
5777374,981.0376,546.45294,434.58466,435.95404,97.87536,6.228908,0.78088975,3.1744542,924.95593
5939423,916.86475,566.3698,350.49493,351.5027,97.96163,6.087737,0.7516004,1.820694,1001.00385
5962861,959.58594,524.1156,435.4703,438.13214,97.57577,6.060545,0.769035,2.4966028,948.17834
5918258,962.4735,522.9826,439.49088,439.342,97.372536,5.9002204,0.7527399,1.776785,961.57513
5670916,994.05554,586.11017,407.94537,408.86258,99.209404,6.9915524,0.7686093,3.2494311,912.54834
