LOC_ID,INT_ID,LOC_NAME,LOC_NAME_ALT1,SCREEN_NAME,LAT,LONG,Z,FORMATION,SCREEN_DIAMETER_CM,SCREEN_TOP_DEPTH_M,WL_AVG_MASL,WL_AVG_TOTAL_NUM,WL_START_DATE_MDY,WL_END_DATE_MDY
40285,40285,Wanderers MW 1-71,WANDERERS TORONTO MW 1-71 (at REG 2-94),Wanderers MW 1-71 s,43.955787658691406,-79.15338134765625,241.60107421875,Mackinaw/Oak Ridges (ORMGP),12.699999809265137,10.363204956054688,241.62469482421875,319,09/07/1971,07/27/2023
40638,40638,MOE OW #303A,CAREY H,MOE Obs Well #303A,43.82406234741211,-79.1090316772461,102.86929321289062,Lower Newmarket (ORMGP),,13.106399536132812,101.69464111328125,616,06/04/1970,06/14/1976
42130,42130,Caledon East PW 1,Peel - Caledon East - PW 1 (TH 4-60),Caledon East PW 1,43.86854934692383,-79.86428833007812,291.0617370605469,Mackinaw/Oak Ridges (ORMGP),25.399999618530273,22.860015869140625,289.4870300292969,109683,08/15/1960,09/17/2014
46174,46174,MOE OW #253A,MINISTRY OF ENVIRONMENT (OWRC),MOE Obs Well #253A,43.927101135253906,-79.82245635986328,264.27215576171875,Thorncliffe (ORMGP),12.699999809265137,65.53199768066406,251.94656372070312,1952,02/18/1970,12/31/1980
49218,49218,Caledon East PW 4,Peel - Caledon East - PW 4,Caledon East PW 4,43.872283935546875,-79.88675689697266,326.4100036621094,Thorncliffe (ORMGP),27.30500030517578,47.548797607421875,315.09051513671875,607,12/19/1990,06/26/2023
149478,148661,Queensville PW 1,York - Queensville - PW 1,Queensville PW 1,44.14462661743164,-79.42650604248047,253.60000610351562,Thorncliffe (ORMGP),30.479999542236328,69.49440002441406,223.44436645507812,245038,08/15/1991,06/12/2022
149481,148664,Queensville PW 4,York - Queensville - PW 4,Queensville PW 4,44.12239456176758,-79.44678497314453,280.5,Thorncliffe (ORMGP),30.479999542236328,104.24160766601562,212.09713745117188,222602,06/19/1990,06/12/2022
149527,148710,Mount Albert MW 02 (TW 3-90),York - Mount Albert - MW 2 - TW 3-90,Mount Albert MW 2,44.129451751708984,-79.30964660644531,279.80999755859375,Thorncliffe (ORMGP),5.0,60.399993896484375,253.60787963867188,421453,03/30/1999,03/16/2022
149528,148711,Queensville MW 09 (Old MW 2),York - Queensville - MW 9 (Old MW 2),Queensville MW 9,44.16638946533203,-79.40518951416016,254.22000122070312,Mackinaw/Oak Ridges (ORMGP),5.079999923706055,12.449996948242188,253.21246337890625,430451,10/31/1991,03/16/2022
149531,148714,Newmarket MW 13 (TH 5-75),York - Newmarket - MW 13 (TH 5-75),Newmarket MW 13,44.03110885620117,-79.47386932373047,269.8500061035156,Scarborough (ORMGP),5.0799994468688965,108.5087890625,226.71646118164062,497991,12/10/1975,03/30/2022
149639,148866,Queensville (Private) Conrad/Pulkki,York - Queensville - Private - CONRAD / ANNIE PULKKI,Queensville (Private) Conrad/Pulkki,44.14980697631836,-79.3975601196289,259.98974609375,Thorncliffe (ORMGP),15.239999771118164,65.22720336914062,227.7265167236328,48,10/10/1997,01/24/2006
149691,47873420,Holland Landing MW 02 (TW 2-77),York - Holland Landing - MW 2 (TW 2-77),Holland Landing MW 2,44.098777770996094,-79.47137451171875,241.00999450683594,Thorncliffe (ORMGP),5.079999923706055,68.58000183105469,221.61572265625,216880,04/26/1977,12/12/2018
149843,149375,Terr-98-68,98-68 (TerraProbe - SE Collector),Terr-98-68d,43.89585494995117,-79.24659729003906,206.1270751953125,Thorncliffe (ORMGP),,46.6952018737793,197.47250366210938,46,12/17/2008,10/17/2014
149843,1781374484,Terr-98-68,98-68 (TerraProbe - SE Collector),Terr-98-68s,43.89585494995117,-79.24659729003906,206.1270751953125,Thorncliffe (ORMGP),,22.995193481445312,197.4054412841797,46,12/17/2008,10/17/2014
149876,149127,Terr-98-20,98-20 (TerraProbe - SE Collector),Terr-98-20d,43.880287170410156,-79.23551940917969,192.95394897460938,Thorncliffe (ORMGP),,36.0,180.3385467529297,37,01/16/2008,08/09/2011
149910,149412,Terr-98-59S,98-59S (TerraProbe - SE Collector),Terr-98-59S,43.89266586303711,-79.2618408203125,197.12448120117188,Thorncliffe (ORMGP),,25.295196533203125,192.4658203125,45,12/17/2008,07/22/2014
372773895,1096752691,CRA-MW83-09,MW 83-09 (SE Collector),CRA-MW83-09,43.88005828857422,-79.16376495361328,187.20950317382812,Thorncliffe (ORMGP),,47.410003662109375,167.77011108398438,58,04/07/2009,06/05/2014
372779003,55837861,PGMN - KRCA - W0000484,KRCA - East Cross Forest CA South (PGMN),PGMN - KRCA - W0000484,44.079010009765625,-78.71356964111328,336.9083557128906,Mackinaw/Oak Ridges (ORMGP),10.15999984741211,42.062408447265625,306.998779296875,63921,06/25/2009,06/25/2019
372780258,480000045,Cannington OW 09-1,Durham - Cannington - OW09-1,Cannington OW 09-1,44.34754943847656,-79.05778503417969,258.6210021972656,Mackinaw/Oak Ridges (ORMGP),5.079999923706055,6.0959930419921875,256.1297912597656,26908,05/10/2016,12/31/2021
381068132,1874342599,Aurora MW 15 (GSC-BH-AUR) (OGS 11-AG-193),York - Aurora - MW #15 (Peter Schoch) (GSC-BH-AUR),Aurora MW 15-3 (Int - Deep),43.98905563354492,-79.42699432373047,266.8999938964844,Lower Newmarket (ORMGP),6.349999904632568,28.0,267.6864318847656,178892,08/04/2011,12/17/2021
381068132,801093372,Aurora MW 15 (GSC-BH-AUR) (OGS 11-AG-193),York - Aurora - MW #15 (Peter Schoch) (GSC-BH-AUR),Aurora MW 15-1 (Shallow),43.98905563354492,-79.42699432373047,266.8999938964844,Mackinaw/Oak Ridges (ORMGP),3.809999942779541,3.0,265.29644775390625,183512,08/04/2011,03/29/2022
381068132,1054052254,Aurora MW 15 (GSC-BH-AUR) (OGS 11-AG-193),York - Aurora - MW #15 (Peter Schoch) (GSC-BH-AUR),Aurora MW 15-2 (Int - Shallow),43.98905563354492,-79.42699432373047,266.8999938964844,Mackinaw/Oak Ridges (ORMGP),3.809999942779541,13.399993896484375,268.2784118652344,128067,08/04/2011,12/17/2021
1725378102,1725408127,Schomberg MW 09 (04-4),York - Schomberg - MW 9 - SCH 04-4 (MMM),Schomberg MW 9 (04-4),44.003028869628906,-79.68477630615234,226.93499755859375,Upper Newmarket (ORMGP),3.180000066757202,4.9499969482421875,224.03338623046875,414706,05/07/2004,03/09/2022
1846536640,1963472267,Lemonville MW 1S (LKBS),York - Lemonville MW 1S,Lemonville MW 1S,43.986690521240234,-79.33626556396484,314.92999267578125,Mackinaw/Oak Ridges (ORMGP),15.239999771118164,52.12078857421875,290.3286437988281,252454,09/21/2006,03/31/2022
1948057102,35605,Sunderland MW 1 (PW 1),Durham - Sunderland - MW 1 (PW 1),Sunderland-MW1,44.26408004760742,-79.0571060180664,261.6709899902344,Late Stage Glaciolacustrine-Glaciofluvial (ORMGP),25.399999618530273,6.0959930419921875,203.86610412597656,5749,01/10/1957,10/31/2022
1964349680,-2009890255,Nobleton MW 3D,York - Nobleton - MW 3 Deep (MW F3D-06) (MMM),Nobleton MW 3d,43.90142822265625,-79.65044403076172,262.14599609375,Thorncliffe (ORMGP),5.710000038146973,86.41000366210938,240.21360778808594,309238,09/19/2006,06/03/2022
-109843112,-2116539970,Spring Grounds Well #10 (SG10),GUELPH WATERWORKS,Spring Grounds Well #10 (SG10),43.552555084228516,-80.16085815429688,327.56268310546875,Inter Newmarket Sediment (ORMGP),,8.2296142578125,322.23431396484375,147,05/20/1966,11/30/2000
