"INT_ID","LOC_ID","LOC_NAME","LOC_NAME_ALT1","SCREEN_NAME","LAT","LONG","Z","FORMATION","SCREEN_DIAMETER_CM","SCREEN_TOP_DEPTH_M","WL_AVG_MASL","WL_AVG_TOTAL_NUM","WL_START_DATE_MDY","WL_END_DATE_MDY","nValues","MannKendall10yrTau","MannKendall10yrPstat","MannKendall10yrText","GAMrange"
555550632,-1299120733,"Nobleton MW 3S","York - Nobleton - MW 3 Shallow (MW F3S-06) (MMM)","Nobleton MW 3s",43.9014282226562,-79.650520324707,262.9580078125,"Mackinaw/Oak Ridges (ORMGP)",5.71000003814697,27.7299957275391,253.796936035156,274998,"10/31/2006","06/03/2022",5411,-0.285175202156334,1.49284353743173e-05,"MK decreasing trend",0.928754113430396
577811501,451898460,"Vaughan MW 1d","York - Vaughan - MW 1d (CRA BH MW-03D)","Vaughan MW 1d",43.826961517334,-79.4444274902344,187.970504760742,"Thorncliffe (ORMGP)",0.129539996385574,34.4400024414062,168.353530883789,203333,"03/17/2003","06/15/2022",4157,-0.00361698077289168,0.959092918249541,"MK no trend",0.173703864326425
578210449,578210449,"Orono MW 4 (PW 4)","Durham - Orono - MW 4 (PW 4)","Orono-MW4",43.9677696228027,-78.6272354125977,134.800994873047,"Thorncliffe (ORMGP)",25.3999996185303,9.14399719238281,128.837615966797,6866,"01/01/2008","10/31/2022",2932,-0.199038461538462,0.0193793605903605,"MK decreasing trend",0.311871753604154
587278038,1145419422,"PGMN - GRCA - W0000348","GRCA - Plainville Works (PGMN)","PGMN - GRCA - W0000348",44.0832672119141,-78.2197036743164,252.699996948242,"Inter Newmarket Sediment (ORMGP)",7.61999988555908,13.0399932861328,250.830749511719,87338,"04/25/2003","02/22/2019",3639,NA,NA,NA,0.532732838513125
595947392,149690,"Holland Landing MW 01 (TH 1-74)","York - Holland Landing - MW 1 (TH 1-74)","Holland Landing MW 1",44.0944862365723,-79.4734878540039,247.360000610352,"Thorncliffe (ORMGP)",5.07999992370605,72.5424041748047,217.438903808594,386684,"05/15/1986","03/15/2022",6558,0.399925317401046,1.81551840228167e-09,"MK increasing trend",3.17898422205974
600000008,-1320773612,"PGMN - LSRCA - W0000298-2 (41 ft) Baldwin","LSRCA - Baldwin BH 1/03 - Shallow (PGMN)","PGMN - LSRCA - W0000298-2 (7m -s) 2019 TEST",44.2626342773438,-79.3359298706055,230.503402709961,"Mackinaw/Oak Ridges (ORMGP)",NA,2.84378409385681,226.637069702148,128509,"03/24/2003","10/30/2018",5363,0.0455709165386585,0.601714971833761,"MK no trend",0.591538137888102
600000009,-1066113844,"PGMN - LSRCA - W0000298-3 (100 ft) Baldwin","LSRCA - Baldwin BH 3/03 - Int (PGMN)","PGMN - LSRCA - W0000298-3 (29m -int) 2019 TEST",44.2626342773438,-79.3359298706055,230.503402709961,"Scarborough (ORMGP)",NA,27.4320011138916,226.582382202148,125187,"03/24/2003","11/07/2018",5226,0.00793650793650794,0.930747555517427,"MK no trend",0.681869886012941
600000010,1907924799,"PGMN - LSRCA - W0000298-4 (105.6 ft) Baldwin","LSRCA - Baldwin BH 2/03 - Deep (PGMN)","PGMN - LSRCA - W0000298-4 (32m -d) 2019 TEST",44.2626342773438,-79.3359298706055,230.503402709961,"Scarborough (ORMGP)",NA,30.5043849945068,226.483200073242,123176,"03/24/2003","10/30/2018",5147,-0.0343061955965182,0.695463225677509,"MK no trend",0.70132803116681
600000011,87475,"PGMN - LSRCA - W0000408","LSRCA - W0000408 - Ramara (PGMN)","PGMN - LSRCA - W0000408 2019 TEST",44.4769096374512,-79.1774444580078,227.30419921875,"Bedrock - Undifferentiated (ORMGP)",15.2399997711182,6.70559978485107,219.685958862305,108690,"01/27/2005","07/30/2019",4541,0.0662337662337662,0.475337855316037,"MK no trend",1.01557627648767
600000012,1609703967,"PGMN - LSRCA - W0000025","LSRCA - Queensville-MW4 (PGMN)","PGMN - LSRCA - W0000025 2019 TEST",44.1532859802246,-79.4540634155273,240.00065612793,"Upper Newmarket (ORMGP)",NA,6.00065612792969,239.38996887207,53515,"01/01/2009","07/31/2019",2084,0.0355731225296443,0.832665939518151,"MK no trend",0.215060439887568
600000013,-168857243,"PGMN - LSRCA - W0000032","LSRCA - Durham Forest BH4 (PGMN)","PGMN - LSRCA - W0000032 2019 TEST",44.0506744384766,-79.0925598144531,350.178680419922,"Inter Newmarket Sediment (ORMGP)",NA,32.5826721191406,316.852996826172,133025,"06/08/2001","03/07/2018",5553,-0.920779220779221,0,"MK decreasing trend",0.0773063612898596
